- Paz Valdivia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jeanette Tobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María Ignacia Zúñiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Nicolás Peric Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Joaquín García Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Joaquín Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Eryin Sanhueza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín García Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Ahumada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Matías Hurych Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. José Devecchi Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Daniela Garcia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Camila Contreras Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Matías Álvarez (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jacqueline Montes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Pinochet (2004) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ángel Marval (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniella Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Ustari (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Collao Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Piña (2007) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Valeria Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Omar Carabalí Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Moira Hernández Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paz Cárdenas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Laura Cifuentes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Caroca Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ballesteros Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Garrido Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Labrín Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Osvaldo Bosso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Manuel Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Fabián Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Crovetto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jorge Faúndez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Nicolás Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Ricardo Escobar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Escobar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Oliver Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Catalina Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Garrido Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Juan Carlos Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Marcelo Medel (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Michael Rodríguez (ECU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Cereceda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valeria Lucca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Monserrat Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacia Zúñiga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Priscila Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Montserrat Loyola Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Martina Escudero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Lobos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Sol Morales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Estefany Vargas Villalobos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Priscila Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Fuentes Villa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pereira Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Monreal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Adasme Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Aileen Genskowsky Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Germán Guiffrey (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Ortiz (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Piña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Reyes (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marina Cano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Almendra Romero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yocelyn Cisternas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Renata Vergara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rania Sansur Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Damar Carrasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Ferrario Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Espejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Jiménez (2008) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yahir Salazar (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Salinas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Geysel Prado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Geraldine Leyton Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Valdés Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Pavez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ámbar Aguilera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Ortiz (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Cayuqueo (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Matías Campos Toro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cornejo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Carrasco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joe Abrigo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Roberto Romero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Sebastián Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Iván Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Iván Ledezma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Luis Cabrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Ariel Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Bryan Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Oliver Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- René Meléndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Darío Bottinelli Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Marín Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Ledezma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Henríquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Cabrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Loreto Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Solange Gamboa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Paula Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Valeria Bravo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Mariana García Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alfred Canales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Lavandeira Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yessenia Huenteo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Montserrat Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Álvarez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Leslie Alarcón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yorky Arriagada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Iván Ochoa (MEX) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Faúndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Francisca Vergara Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jéssica Galaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Angela Madriaga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Constanza Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Catalina Lobos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Muñoz Beltrán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Andrea Bustos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Nicole Tobar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Javiera Moreno Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Gabriela Aguayo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Slami Portuguez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Iona Rothfeld Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Cristian Esparza (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ayleen Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Ignacia Zúñiga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Vargas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Monserrat Loyola Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Valentina Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Matus Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Collao Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Ríos (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Juárez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marlon Carrasco (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ian Godoy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Emanuel Cecchini (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Villanueva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Dittborn Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luckas Carreño (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Sandoval Molina (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Valdes (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Melissa Espina Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Arriagada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Zamorano (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Contreras (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Gil Romero (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Catrilao Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Lucero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Quersero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Valencia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Milton Cantero (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Pereira Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kirna Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valeria Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ana Gómez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bianca Aravena Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Renata Vidal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Muriel Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Leyton (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Mateos (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Zenteno (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Tarifeño Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
