- Alexander Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Estay | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Cristóbal Navarrete Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Rossi Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Bastián Cáceres Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Sebastián Valle Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Cartagena Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Rodríguez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Cristóbal Díaz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- David Seguel Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Hans Schnaidt Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Huerta Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Claudio Estay Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Bravo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Vega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. David Méndez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Cuadros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Diego Bravo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Báez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Stian Zamora Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Luis Núñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Byron Vega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. René Cárcamo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Allan Latín Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Odswart Canessa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Benítez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Ignacio Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Esteban Madrid Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Renzo Carabelli Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Claudio Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Fabián Moreno Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Johnny Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
