- 1. Carlos Julio Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jeff Barría Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Fuentealba Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Juan Segovia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Benjamin Urtulla Cataldo (Sub 20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Aliaga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Rodrigo Chinga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Lara Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Benjamín Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Eduardo Jamett Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Omar Tapia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Bugueño Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Matías Hurych Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Marcelo Romero Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Elián Olivares Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamora Olivares Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Cepeda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Freddy Vásquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Ítalo Pizarro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Carlos Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jeisson López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Matías Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Bruno Villablanca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Fidel Córdova Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Fracchia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Óscar Quijada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Carlos Yañez Aguilar (Sub 20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Ricardo Rojas Rojo (Sub 20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Sánchez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Jordano Cisterna Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Luciano Cisterna Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. David Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Luis Felipe Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Meneses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Aguilar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Araya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Fabio Jiménez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Claudio Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Álvaro Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Joseph Gondre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Díaz Toro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Olmos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. José Araya Ahumada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Luis Rivera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Aguirre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Maxmiliano Pereda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Martín Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Johan Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Araya Caniguante Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Bustamante Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Braulio Ramos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Rodríguez Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Paul Olivares Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Milovan Rozas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Ogalde Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Fuentes Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Fuentes Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. José Bordones Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Fabián Ramírez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Leonel González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Francisco Godoy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Gaete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Paiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Dylan Escobar (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Felipe Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Arancibia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Giovanni Narváez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Fabres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Juan Jeraldino Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Franco Seida Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Juan Toloza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
