- Carlos Lampe Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Urra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Manosalva Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Castellón Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Parra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Tomás Martínez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Aguilera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Liliana Llanos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Mella (2005) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Espinoza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Karina Martínez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Génesis González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Karina Alarcón Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Constanza Neira Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Florencia Roa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Zacarías López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Benjamín Ampuero Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Calbucura Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Escalona Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Florencia Quiroz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Cerda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Bravo (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Odriozola (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Pincheira Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ingrid Castro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Britanny Robles Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Cruzat Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Hidalgo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Ignacio Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Claudio Jopia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Córdova Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Cristián Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Federico Pereyra (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Baeza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Solano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Pereyra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Bizama Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. José Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Nicolás Baeza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Solano (Sub 20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Jopia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Castillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Martínez Farías Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Gazzolo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Oyarzún Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dylan Aravena Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Roco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Guaiquil Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Ignacio Morales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Tamara Urra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Céfora Esparza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Carolina Elgueta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luz Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Osvaldo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Renzo Malanca (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Loyola Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yahir Salazar (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Sáez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Scheinfelt Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yaravi Rivas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Imanol González (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
