- Nicolás Cortés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. César Meza Trujillo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Reyes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Aliaga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Claudio Labraña Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Sergio Fariña Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Yáñez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Jairo López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Figueroa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Abarca Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pérez Medina Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Samamé Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Contreras (2005) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Manosalva Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Guerrero (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Elías Hartard Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Rutherley Saul (HAI) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Mejías Retamal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Cárdenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Pablo Ramos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gerson Ramos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Salazar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Peña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Leonardo Utrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Cristóbal Astorga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
