- 1. José Castillo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Andrés Sánchez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Montecinos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Álvaro Ogalde Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Azúa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Eryin Sanhueza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- André Jerez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Sebastián López (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jordan Santander Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Fernández Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan López (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Martino Fiamengo (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Cancino Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Isabella Grinberg Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Natasha Taiba Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín García Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Pizarro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Cantillana Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Méndez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcel Cortez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Wyilo Maturana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Nicolás López Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Claudio Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Sebastian Pérez Hernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Juan Pablo Campos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Fabián Astorga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Diego Olate Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. José Garcés Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Serrano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Sebastián Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Rodrigo Canosa (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Navarrete (2001) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Boris Lagos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Hans Martínez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Alan González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Reinaldo Ahumada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Ulloa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Enzo Ruiz (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Vásquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Magaña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardo Mendoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Kevin Hidalgo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Gómez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joshoa Sotomayor (2000) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kurt Zimmermann (2001) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Latorre (2000) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Carlos Bustamante (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Novoa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Hidalgo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Vega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
