- José Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Vania Miranda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Nelson Espinoza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. José Ignacio Lártiga (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Leonardo Figueroa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. José Ignacio Lártiga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel García (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Catalán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Jélvez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Alan Chaparro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Omar Carabalí Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Heredia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Ruggeri (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Rozas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paulo Garcés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Rodríguez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Manosalva Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Catalina Mellado Alvarado Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Ignacio Pietrobono (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Torgnascioli (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Avellaneda (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Peña Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Daysi Arenas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Sofía Iturrieta Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Ponce (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Terán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Cifuentes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Velazco (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Tomás Martínez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Retamal Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- María Zamora Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Vargas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Salazar (2007) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Charpentier (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Krishnna Valdés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Garcés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nery Veloso Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Abarzúa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Peranic Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Yáñez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. José Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Vicencio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Manuel Bravo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Gonzalo Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Vargas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Rodrigo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Diego Díaz Nuñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Joaquín Pereyra (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Daniel Viveros (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Roldán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Lara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Abarca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Robles Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jeribeth Carrasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Víctor Morales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Douglas Estay Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Francisco Bahamondes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Rodrigo Riquelme Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Melo (2001) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 37. Sergio Baquedano (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabrizio Tomarelli Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Alexis Ferrero (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Damían González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Andrés Imperiale (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Soto Riffo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Ignacio Vázquez (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Sebastián Carrillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Cáceres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Meneses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Cornejo Padilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Néstor Moiraghi (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Sotomayor Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Guerra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ezequiel Luna Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. María Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Mizala Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Paulina Miranda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Salvador Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Daniela Carreño Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lukas Soza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Henríquez (2001) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Bravo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Robles Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Pereyra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Agustina Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Mena Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Bolados Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Mayra Astudillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Cathalina Lara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Antonia Huerta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Jesús Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sophía Pinto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maite Mella Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paula Ardiles Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Sánchez (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Moreno (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Hardy Cavero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Cubillos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yahir Salazar (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Tapia (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Estay Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Aravena Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Danitza Carrere Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Vergara (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Coronel (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Vergara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Sarria Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Avello Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Águila Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Osorio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joseffa Pizarro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
