- 25. Emilio Torres Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. César Salinas (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Francisco Garrido Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. José Ignacio Lártiga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Raimundo Izuck (Sub 20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Pablo Soto Soto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Cristóbal Vega Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Walter Limenza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Diego Stuardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Julio Junior Bórquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Javier Cordero Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín García Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Ariki Yañez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Samamé Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Guzmán Morales Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Byron Santelices Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Elián Olivares Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Suárez Báez (2000) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Castro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Said Mena Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Riady Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Retamal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Guzmán Caroca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
