- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Rodrigo Paillaqueo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Matías Labra (Sub 20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Matías Olguín Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Olguín Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Paillaqueo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Santis Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Sebastián Saavedra (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Azúa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Flores Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel García (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Osorio (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Hugo Faúndez (2003) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Henríquez (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Velazco (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Machuca Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Génesis Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Lesli Peña Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Farías Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Carreño Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Dobboletta (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardo Mendoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Javier Lemarí Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Rodrigo Herrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Arenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Peñaloza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Michel Rojas (Sub 20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Edinson Rodríguez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Mauro Aguirre (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Andrés Segovia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Gonzalo Santelices Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Fidel Córdova Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Braulio Ávalos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Segovia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Braulio Ávalos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Diego Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Urquieta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. José Antonio Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Isaías Meneses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Diego Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. José Antonio Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Robinson Pereda (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Michel Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Matías Muñoz (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan José Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mirko Serrano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Mauro Aguirre (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Benjamín Jerez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Vergara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Luciano Gaete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Aros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. José Martínez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Sebastián Navarro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Zúñiga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Díaz Toro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Álvarez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
