- Ignacio Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christopher Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Poblete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Pinto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Díaz Mella | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Donoso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Miranda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Guajardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Álvarez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pérez Medina Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Sasso Núñez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ítalo Rodríguez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Astudillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 62. Ítalo Machuca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Figueroa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Calvo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Aguilera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Gallardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Villela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Díaz Oliva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ayrton Albornoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Zúñiga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jurguen Saavedra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Miranda Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Osorio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Muñoz Lillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Copaiva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Ortiz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Rojas Sepúlveda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Matías Piña Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
