- Marco Bastías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Gaviola | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Johan Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevín Benavente | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Ramírez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Farías Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Rolando Martínez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Vásquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Abraham Valenzuela Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Sebastián Marangunic Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Alberto Tamayo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Luis Soto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Azúa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jordan Santander Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Hans Schnaidt Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Zarán Pavez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Matías Vilchez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Jiménez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Adrián Ñanculef Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Aravena Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Leonardo Hidalgo Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Miranda Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Isaías Arias Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Christian Zamorano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Eduardo Lagos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Bastidas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Aguilar (2002) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Zenteno Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Mellado Gajardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Fuentes Jiménez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Miranda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Gómez Hernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Giovanni Sabella Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Aguilar De La Cerda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Mendoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Emerson Hernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Retamal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Farías Espinoza (2001) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Martín Escudero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Áxel Astorga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Giovanni Montoya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Pino Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Toro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Victoriano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
