- Matías Guajardo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Jaime Arriagada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Eric Jorquera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Patricio Puentes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Robin Bernazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Lara Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jordan Santander Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Thomas Flores (2004) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Kovacic Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Sepulveda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joan Flores Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Enrique Contreras Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Diego Bernard Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. José Acosta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Cristofer Ahumada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Claudio Cerda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Víctor Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Carlos Arce Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. José Araya Ahumada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Camilo Olmedo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Benjamín Jerez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Nehemías Hernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Issan Carrasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Basualto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Cerda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Alvear Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Catalán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Harold Barra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Julio Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Martín Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Carlos Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ortiz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Kevin Caro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Jesrrei Gálvez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Salazar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Jiménez Salinas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Mardones Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Iván Ruiz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Piña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Castillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Inostroza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Reyes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Peralta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Argel Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Moya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Olate Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Riquelme García Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Cantillana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Díaz Orellana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maikol González Llancavil Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Riquelme Anguita Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Jorge Pacheco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Pablo Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Nicolás Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Diego Urrutia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Vicente Alarcón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Miranda Núñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Olivares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Bryan Cabello Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Mardones Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Matías Palma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Tomás Parra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Mauricio Cano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Gabriel López Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
