- 20. Javier Contardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Ortega Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Córdova Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Ponce Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jason Gutiérrez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Flores Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Bravo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Vicente Cortés-Monroy Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nelson Cea Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Salazar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Abel Reinoso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Díaz Ibarra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Palma Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Nelsón Diaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Vicente Cartes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Palma Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Parry Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Figueroa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Valdebenito Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Wills Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Felipe Pérez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Coloma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Juan Solís Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Solís Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Joaquín Ibañez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Giovanni Soto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Benjamín Farias Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Joaquín Aguilera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
